Text_ID,Work_Title,Author,Year,Character_Name,Excerpt,Gender,Race,Class,Traits,Contextual_Embedding,Group_Label,Bias_Association_Score,WSVM_Label
30,Song of Solomon,Toni Morrison,1977,Character_30,"Character_30 is described as strong, caring, reflecting Unknown female identity.",Female,Unknown,Working,"strong, caring",[768-dim vector],Unknown_Female_Working,0.33,1
31,To Kill a Mockingbird,Harper Lee,1960,Character_31,"Character_31 is described as noble, submissive, reflecting White unknown identity.",Unknown,White,Middle,"noble, submissive",[768-dim vector],White_Unknown_Middle,0.53,0
32,Beloved,Toni Morrison,1987,Character_32,"Character_32 is described as noble, heroic, reflecting Mixed male identity.",Male,Mixed,Unknown,"noble, heroic",[768-dim vector],Mixed_Male_Unknown,0.8,1
33,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_33,"Character_33 is described as noble, submissive, reflecting Unknown male identity.",Male,Unknown,Upper,"noble, submissive",[768-dim vector],Unknown_Male_Upper,0.47,1
34,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_34,"Character_34 is described as noble, resilient, reflecting White non-binary identity.",Non-binary,White,Unknown,"noble, resilient",[768-dim vector],White_Non-binary_Unknown,0.38,1
35,To Kill a Mockingbird,Harper Lee,1960,Character_35,"Character_35 is described as devoted, noble, reflecting Mixed female identity.",Female,Mixed,Middle,"devoted, noble",[768-dim vector],Mixed_Female_Middle,0.34,1
36,To Kill a Mockingbird,Harper Lee,1960,Character_36,"Character_36 is described as rebellious, oppressed, reflecting Black unknown identity.",Unknown,Black,Upper,"rebellious, oppressed",[768-dim vector],Black_Unknown_Upper,0.76,0
37,Beloved,Toni Morrison,1987,Character_37,"Character_37 is described as loyal, rebellious, reflecting Asian unknown identity.",Unknown,Asian,Enslaved/Servant,"loyal, rebellious",[768-dim vector],Asian_Unknown_Enslaved/Servant,0.3,1
38,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_38,"Character_38 is described as rebellious, noble, reflecting Unknown unknown identity.",Unknown,Unknown,Working,"rebellious, noble",[768-dim vector],Unknown_Unknown_Working,0.72,1
39,The Great Gatsby,F. Scott Fitzgerald,1925,Character_39,"Character_39 is described as hopeful, oppressed, reflecting Mixed female identity.",Female,Mixed,Enslaved/Servant,"hopeful, oppressed",[768-dim vector],Mixed_Female_Enslaved/Servant,0.76,0
40,Adventures of Huckleberry Finn,Mark Twain,1884,Character_40,"Character_40 is described as submissive, visionary, reflecting Asian non-binary identity.",Non-binary,Asian,Middle,"submissive, visionary",[768-dim vector],Asian_Non-binary_Middle,0.52,0
41,Song of Solomon,Toni Morrison,1977,Character_41,"Character_41 is described as brave, submissive, reflecting White male identity.",Male,White,Unknown,"brave, submissive",[768-dim vector],White_Male_Unknown,0.82,1
42,The Great Gatsby,F. Scott Fitzgerald,1925,Character_42,"Character_42 is described as devoted, fearless, reflecting Asian female identity.",Female,Asian,Enslaved/Servant,"devoted, fearless",[768-dim vector],Asian_Female_Enslaved/Servant,0.5,0
43,Invisible Man,Ralph Ellison,1952,Character_43,"Character_43 is described as brave, strong, reflecting Black male identity.",Male,Black,Enslaved/Servant,"brave, strong",[768-dim vector],Black_Male_Enslaved/Servant,0.49,1
44,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_44,"Character_44 is described as heroic, devoted, reflecting Indigenous unknown identity.",Unknown,Indigenous,Enslaved/Servant,"heroic, devoted",[768-dim vector],Indigenous_Unknown_Enslaved/Servant,0.74,1
45,Adventures of Huckleberry Finn,Mark Twain,1884,Character_45,"Character_45 is described as loyal, heroic, reflecting Indigenous female identity.",Female,Indigenous,Middle,"loyal, heroic",[768-dim vector],Indigenous_Female_Middle,0.83,1
46,Beloved,Toni Morrison,1987,Character_46,"Character_46 is described as devoted, tragic, reflecting White male identity.",Male,White,Unknown,"devoted, tragic",[768-dim vector],White_Male_Unknown,0.37,1
47,Song of Solomon,Toni Morrison,1977,Character_47,"Character_47 is described as submissive, defiant, reflecting White female identity.",Female,White,Unknown,"submissive, defiant",[768-dim vector],White_Female_Unknown,0.76,1
48,Moby-Dick,Herman Melville,1851,Character_48,"Character_48 is described as strong, rebellious, reflecting Unknown male identity.",Male,Unknown,Middle,"strong, rebellious",[768-dim vector],Unknown_Male_Middle,0.76,1
49,White Noise,Don DeLillo,1985,Character_49,"Character_49 is described as loyal, submissive, reflecting Mixed female identity.",Female,Mixed,Unknown,"loyal, submissive",[768-dim vector],Mixed_Female_Unknown,0.61,1
50,Invisible Man,Ralph Ellison,1952,Character_50,"Character_50 is described as loving, noble, reflecting Indigenous non-binary identity.",Non-binary,Indigenous,Middle,"loving, noble",[768-dim vector],Indigenous_Non-binary_Middle,0.32,0
51,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_51,"Character_51 is described as visionary, loving, reflecting Black unknown identity.",Unknown,Black,Working,"visionary, loving",[768-dim vector],Black_Unknown_Working,0.32,1
52,Moby-Dick,Herman Melville,1851,Character_52,"Character_52 is described as rebellious, submissive, reflecting Asian male identity.",Male,Asian,Unknown,"rebellious, submissive",[768-dim vector],Asian_Male_Unknown,0.49,1
53,Song of Solomon,Toni Morrison,1977,Character_53,"Character_53 is described as hopeful, caring, reflecting Mixed female identity.",Female,Mixed,Working,"hopeful, caring",[768-dim vector],Mixed_Female_Working,0.84,0
54,Moby-Dick,Herman Melville,1851,Character_54,"Character_54 is described as defiant, visionary, reflecting Indigenous female identity.",Female,Indigenous,Working,"defiant, visionary",[768-dim vector],Indigenous_Female_Working,0.55,1
55,Song of Solomon,Toni Morrison,1977,Character_55,"Character_55 is described as brave, independent, reflecting Mixed non-binary identity.",Non-binary,Mixed,Unknown,"brave, independent",[768-dim vector],Mixed_Non-binary_Unknown,0.44,0
56,Moby-Dick,Herman Melville,1851,Character_56,"Character_56 is described as rebellious, hopeful, reflecting Indigenous female identity.",Female,Indigenous,Upper,"rebellious, hopeful",[768-dim vector],Indigenous_Female_Upper,0.47,0
57,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_57,"Character_57 is described as loving, fearless, reflecting Mixed non-binary identity.",Non-binary,Mixed,Middle,"loving, fearless",[768-dim vector],Mixed_Non-binary_Middle,0.86,1
58,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_58,"Character_58 is described as submissive, oppressed, reflecting Indigenous unknown identity.",Unknown,Indigenous,Upper,"submissive, oppressed",[768-dim vector],Indigenous_Unknown_Upper,0.68,1
59,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_59,"Character_59 is described as hopeful, resilient, reflecting White male identity.",Male,White,Working,"hopeful, resilient",[768-dim vector],White_Male_Working,0.78,0
60,Adventures of Huckleberry Finn,Mark Twain,1884,Character_60,"Character_60 is described as heroic, brave, reflecting Mixed unknown identity.",Unknown,Mixed,Enslaved/Servant,"heroic, brave",[768-dim vector],Mixed_Unknown_Enslaved/Servant,0.84,1
61,Moby-Dick,Herman Melville,1851,Character_61,"Character_61 is described as heroic, loyal, reflecting Unknown male identity.",Male,Unknown,Middle,"heroic, loyal",[768-dim vector],Unknown_Male_Middle,0.78,1
62,Beloved,Toni Morrison,1987,Character_62,"Character_62 is described as loyal, independent, reflecting Asian female identity.",Female,Asian,Middle,"loyal, independent",[768-dim vector],Asian_Female_Middle,0.49,0
63,Beloved,Toni Morrison,1987,Character_63,"Character_63 is described as noble, rebellious, reflecting Indigenous male identity.",Male,Indigenous,Middle,"noble, rebellious",[768-dim vector],Indigenous_Male_Middle,0.44,1
64,Beloved,Toni Morrison,1987,Character_64,"Character_64 is described as noble, defiant, reflecting Mixed unknown identity.",Unknown,Mixed,Middle,"noble, defiant",[768-dim vector],Mixed_Unknown_Middle,0.79,1
65,Adventures of Huckleberry Finn,Mark Twain,1884,Character_65,"Character_65 is described as loving, oppressed, reflecting White unknown identity.",Unknown,White,Middle,"loving, oppressed",[768-dim vector],White_Unknown_Middle,0.3,1
66,The Great Gatsby,F. Scott Fitzgerald,1925,Character_66,"Character_66 is described as strong, loyal, reflecting Black non-binary identity.",Non-binary,Black,Upper,"strong, loyal",[768-dim vector],Black_Non-binary_Upper,0.55,0
67,To Kill a Mockingbird,Harper Lee,1960,Character_67,"Character_67 is described as caring, independent, reflecting Black female identity.",Female,Black,Enslaved/Servant,"caring, independent",[768-dim vector],Black_Female_Enslaved/Servant,0.37,1
68,The Great Gatsby,F. Scott Fitzgerald,1925,Character_68,"Character_68 is described as strong, loving, reflecting White female identity.",Female,White,Middle,"strong, loving",[768-dim vector],White_Female_Middle,0.87,1
69,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_69,"Character_69 is described as tragic, strong, reflecting Indigenous male identity.",Male,Indigenous,Working,"tragic, strong",[768-dim vector],Indigenous_Male_Working,0.61,1
70,Song of Solomon,Toni Morrison,1977,Character_70,"Character_70 is described as resilient, defiant, reflecting White non-binary identity.",Non-binary,White,Upper,"resilient, defiant",[768-dim vector],White_Non-binary_Upper,0.52,1
71,White Noise,Don DeLillo,1985,Character_71,"Character_71 is described as oppressed, caring, reflecting White non-binary identity.",Non-binary,White,Upper,"oppressed, caring",[768-dim vector],White_Non-binary_Upper,0.88,0
72,Beloved,Toni Morrison,1987,Character_72,"Character_72 is described as rebellious, strong, reflecting Mixed unknown identity.",Unknown,Mixed,Unknown,"rebellious, strong",[768-dim vector],Mixed_Unknown_Unknown,0.6,1
73,White Noise,Don DeLillo,1985,Character_73,"Character_73 is described as oppressed, brave, reflecting Indigenous female identity.",Female,Indigenous,Upper,"oppressed, brave",[768-dim vector],Indigenous_Female_Upper,0.47,0
74,Song of Solomon,Toni Morrison,1977,Character_74,"Character_74 is described as submissive, loving, reflecting Indigenous female identity.",Female,Indigenous,Enslaved/Servant,"submissive, loving",[768-dim vector],Indigenous_Female_Enslaved/Servant,0.67,1
75,White Noise,Don DeLillo,1985,Character_75,"Character_75 is described as independent, tragic, reflecting Unknown non-binary identity.",Non-binary,Unknown,Upper,"independent, tragic",[768-dim vector],Unknown_Non-binary_Upper,0.33,0
76,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_76,"Character_76 is described as independent, hopeful, reflecting Indigenous unknown identity.",Unknown,Indigenous,Enslaved/Servant,"independent, hopeful",[768-dim vector],Indigenous_Unknown_Enslaved/Servant,0.84,0
77,The Great Gatsby,F. Scott Fitzgerald,1925,Character_77,"Character_77 is described as defiant, independent, reflecting Unknown unknown identity.",Unknown,Unknown,Enslaved/Servant,"defiant, independent",[768-dim vector],Unknown_Unknown_Enslaved/Servant,0.39,1
78,Invisible Man,Ralph Ellison,1952,Character_78,"Character_78 is described as fearless, oppressed, reflecting Indigenous male identity.",Male,Indigenous,Working,"fearless, oppressed",[768-dim vector],Indigenous_Male_Working,0.89,0
79,White Noise,Don DeLillo,1985,Character_79,"Character_79 is described as visionary, fearless, reflecting Asian non-binary identity.",Non-binary,Asian,Enslaved/Servant,"visionary, fearless",[768-dim vector],Asian_Non-binary_Enslaved/Servant,0.7,1
80,Song of Solomon,Toni Morrison,1977,Character_80,"Character_80 is described as submissive, independent, reflecting Unknown unknown identity.",Unknown,Unknown,Middle,"submissive, independent",[768-dim vector],Unknown_Unknown_Middle,0.44,1
81,Song of Solomon,Toni Morrison,1977,Character_81,"Character_81 is described as independent, noble, reflecting White non-binary identity.",Non-binary,White,Middle,"independent, noble",[768-dim vector],White_Non-binary_Middle,0.52,1
82,The Great Gatsby,F. Scott Fitzgerald,1925,Character_82,"Character_82 is described as noble, devoted, reflecting White female identity.",Female,White,Upper,"noble, devoted",[768-dim vector],White_Female_Upper,0.68,1
83,White Noise,Don DeLillo,1985,Character_83,"Character_83 is described as fearless, strong, reflecting Asian male identity.",Male,Asian,Enslaved/Servant,"fearless, strong",[768-dim vector],Asian_Male_Enslaved/Servant,0.35,1
84,To Kill a Mockingbird,Harper Lee,1960,Character_84,"Character_84 is described as brave, rebellious, reflecting Black unknown identity.",Unknown,Black,Middle,"brave, rebellious",[768-dim vector],Black_Unknown_Middle,0.49,0
85,Invisible Man,Ralph Ellison,1952,Character_85,"Character_85 is described as visionary, loyal, reflecting Black female identity.",Female,Black,Unknown,"visionary, loyal",[768-dim vector],Black_Female_Unknown,0.32,1
86,Song of Solomon,Toni Morrison,1977,Character_86,"Character_86 is described as hopeful, visionary, reflecting White female identity.",Female,White,Enslaved/Servant,"hopeful, visionary",[768-dim vector],White_Female_Enslaved/Servant,0.71,0
87,Song of Solomon,Toni Morrison,1977,Character_87,"Character_87 is described as tragic, oppressed, reflecting Asian non-binary identity.",Non-binary,Asian,Unknown,"tragic, oppressed",[768-dim vector],Asian_Non-binary_Unknown,0.61,0
88,Song of Solomon,Toni Morrison,1977,Character_88,"Character_88 is described as visionary, resilient, reflecting Black unknown identity.",Unknown,Black,Enslaved/Servant,"visionary, resilient",[768-dim vector],Black_Unknown_Enslaved/Servant,0.69,0
89,The Great Gatsby,F. Scott Fitzgerald,1925,Character_89,"Character_89 is described as noble, resilient, reflecting Mixed non-binary identity.",Non-binary,Mixed,Enslaved/Servant,"noble, resilient",[768-dim vector],Mixed_Non-binary_Enslaved/Servant,0.71,1
90,To Kill a Mockingbird,Harper Lee,1960,Character_90,"Character_90 is described as noble, resilient, reflecting Unknown male identity.",Male,Unknown,Working,"noble, resilient",[768-dim vector],Unknown_Male_Working,0.86,0
91,Beloved,Toni Morrison,1987,Character_91,"Character_91 is described as hopeful, heroic, reflecting Mixed non-binary identity.",Non-binary,Mixed,Upper,"hopeful, heroic",[768-dim vector],Mixed_Non-binary_Upper,0.5,0
92,The Great Gatsby,F. Scott Fitzgerald,1925,Character_92,"Character_92 is described as fearless, submissive, reflecting Unknown unknown identity.",Unknown,Unknown,Middle,"fearless, submissive",[768-dim vector],Unknown_Unknown_Middle,0.85,1
93,Invisible Man,Ralph Ellison,1952,Character_93,"Character_93 is described as visionary, oppressed, reflecting Indigenous unknown identity.",Unknown,Indigenous,Unknown,"visionary, oppressed",[768-dim vector],Indigenous_Unknown_Unknown,0.45,1
94,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_94,"Character_94 is described as brave, strong, reflecting Asian female identity.",Female,Asian,Enslaved/Servant,"brave, strong",[768-dim vector],Asian_Female_Enslaved/Servant,0.79,1
95,To Kill a Mockingbird,Harper Lee,1960,Character_95,"Character_95 is described as strong, oppressed, reflecting Indigenous male identity.",Male,Indigenous,Working,"strong, oppressed",[768-dim vector],Indigenous_Male_Working,0.62,0
96,Song of Solomon,Toni Morrison,1977,Character_96,"Character_96 is described as resilient, oppressed, reflecting Asian female identity.",Female,Asian,Middle,"resilient, oppressed",[768-dim vector],Asian_Female_Middle,0.36,1
97,To Kill a Mockingbird,Harper Lee,1960,Character_97,"Character_97 is described as strong, defiant, reflecting Asian male identity.",Male,Asian,Working,"strong, defiant",[768-dim vector],Asian_Male_Working,0.84,1
98,To Kill a Mockingbird,Harper Lee,1960,Character_98,"Character_98 is described as brave, strong, reflecting Mixed female identity.",Female,Mixed,Unknown,"brave, strong",[768-dim vector],Mixed_Female_Unknown,0.5,1
99,White Noise,Don DeLillo,1985,Character_99,"Character_99 is described as hopeful, visionary, reflecting White male identity.",Male,White,Enslaved/Servant,"hopeful, visionary",[768-dim vector],White_Male_Enslaved/Servant,0.74,1
100,Adventures of Huckleberry Finn,Mark Twain,1884,Character_100,"Character_100 is described as loving, fearless, reflecting Indigenous male identity.",Male,Indigenous,Enslaved/Servant,"loving, fearless",[768-dim vector],Indigenous_Male_Enslaved/Servant,0.83,1
101,To Kill a Mockingbird,Harper Lee,1960,Character_101,"Character_101 is described as resilient, oppressed, reflecting Indigenous non-binary identity.",Non-binary,Indigenous,Enslaved/Servant,"resilient, oppressed",[768-dim vector],Indigenous_Non-binary_Enslaved/Servant,0.69,0
102,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_102,"Character_102 is described as heroic, loyal, reflecting Asian male identity.",Male,Asian,Upper,"heroic, loyal",[768-dim vector],Asian_Male_Upper,0.4,1
103,Beloved,Toni Morrison,1987,Character_103,"Character_103 is described as loyal, brave, reflecting Unknown female identity.",Female,Unknown,Upper,"loyal, brave",[768-dim vector],Unknown_Female_Upper,0.66,0
104,The Great Gatsby,F. Scott Fitzgerald,1925,Character_104,"Character_104 is described as hopeful, noble, reflecting White female identity.",Female,White,Unknown,"hopeful, noble",[768-dim vector],White_Female_Unknown,0.36,1
105,Adventures of Huckleberry Finn,Mark Twain,1884,Character_105,"Character_105 is described as fearless, visionary, reflecting Unknown unknown identity.",Unknown,Unknown,Upper,"fearless, visionary",[768-dim vector],Unknown_Unknown_Upper,0.3,0
106,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_106,"Character_106 is described as rebellious, defiant, reflecting Black non-binary identity.",Non-binary,Black,Unknown,"rebellious, defiant",[768-dim vector],Black_Non-binary_Unknown,0.63,1
107,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_107,"Character_107 is described as independent, strong, reflecting Mixed male identity.",Male,Mixed,Upper,"independent, strong",[768-dim vector],Mixed_Male_Upper,0.69,0
108,Invisible Man,Ralph Ellison,1952,Character_108,"Character_108 is described as noble, rebellious, reflecting White female identity.",Female,White,Unknown,"noble, rebellious",[768-dim vector],White_Female_Unknown,0.73,0
109,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_109,"Character_109 is described as caring, oppressed, reflecting Mixed male identity.",Male,Mixed,Upper,"caring, oppressed",[768-dim vector],Mixed_Male_Upper,0.5,1
110,Beloved,Toni Morrison,1987,Character_110,"Character_110 is described as brave, oppressed, reflecting Mixed male identity.",Male,Mixed,Working,"brave, oppressed",[768-dim vector],Mixed_Male_Working,0.69,1
111,To Kill a Mockingbird,Harper Lee,1960,Character_111,"Character_111 is described as visionary, hopeful, reflecting Asian male identity.",Male,Asian,Working,"visionary, hopeful",[768-dim vector],Asian_Male_Working,0.69,1
112,Invisible Man,Ralph Ellison,1952,Character_112,"Character_112 is described as resilient, devoted, reflecting Unknown female identity.",Female,Unknown,Unknown,"resilient, devoted",[768-dim vector],Unknown_Female_Unknown,0.36,1
113,To Kill a Mockingbird,Harper Lee,1960,Character_113,"Character_113 is described as resilient, loving, reflecting Unknown unknown identity.",Unknown,Unknown,Unknown,"resilient, loving",[768-dim vector],Unknown_Unknown_Unknown,0.46,0
114,The Great Gatsby,F. Scott Fitzgerald,1925,Character_114,"Character_114 is described as noble, visionary, reflecting Indigenous male identity.",Male,Indigenous,Enslaved/Servant,"noble, visionary",[768-dim vector],Indigenous_Male_Enslaved/Servant,0.88,1
115,White Noise,Don DeLillo,1985,Character_115,"Character_115 is described as devoted, loving, reflecting Indigenous unknown identity.",Unknown,Indigenous,Upper,"devoted, loving",[768-dim vector],Indigenous_Unknown_Upper,0.84,1
116,Adventures of Huckleberry Finn,Mark Twain,1884,Character_116,"Character_116 is described as resilient, loving, reflecting Black unknown identity.",Unknown,Black,Working,"resilient, loving",[768-dim vector],Black_Unknown_Working,0.78,1
117,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_117,"Character_117 is described as tragic, fearless, reflecting Mixed non-binary identity.",Non-binary,Mixed,Upper,"tragic, fearless",[768-dim vector],Mixed_Non-binary_Upper,0.65,1
118,Moby-Dick,Herman Melville,1851,Character_118,"Character_118 is described as devoted, noble, reflecting Unknown female identity.",Female,Unknown,Enslaved/Servant,"devoted, noble",[768-dim vector],Unknown_Female_Enslaved/Servant,0.42,1
119,To Kill a Mockingbird,Harper Lee,1960,Character_119,"Character_119 is described as submissive, independent, reflecting Asian unknown identity.",Unknown,Asian,Upper,"submissive, independent",[768-dim vector],Asian_Unknown_Upper,0.47,0
120,The Great Gatsby,F. Scott Fitzgerald,1925,Character_120,"Character_120 is described as independent, caring, reflecting Unknown unknown identity.",Unknown,Unknown,Middle,"independent, caring",[768-dim vector],Unknown_Unknown_Middle,0.69,0
121,To Kill a Mockingbird,Harper Lee,1960,Character_121,"Character_121 is described as loving, caring, reflecting Asian non-binary identity.",Non-binary,Asian,Unknown,"loving, caring",[768-dim vector],Asian_Non-binary_Unknown,0.86,1
122,To Kill a Mockingbird,Harper Lee,1960,Character_122,"Character_122 is described as noble, rebellious, reflecting Indigenous non-binary identity.",Non-binary,Indigenous,Working,"noble, rebellious",[768-dim vector],Indigenous_Non-binary_Working,0.85,1
123,The Great Gatsby,F. Scott Fitzgerald,1925,Character_123,"Character_123 is described as defiant, fearless, reflecting White non-binary identity.",Non-binary,White,Unknown,"defiant, fearless",[768-dim vector],White_Non-binary_Unknown,0.31,1
124,The Great Gatsby,F. Scott Fitzgerald,1925,Character_124,"Character_124 is described as tragic, independent, reflecting Indigenous unknown identity.",Unknown,Indigenous,Unknown,"tragic, independent",[768-dim vector],Indigenous_Unknown_Unknown,0.56,1
125,Moby-Dick,Herman Melville,1851,Character_125,"Character_125 is described as caring, defiant, reflecting Indigenous female identity.",Female,Indigenous,Middle,"caring, defiant",[768-dim vector],Indigenous_Female_Middle,0.88,1
126,Their Eyes Were Watching God,Zora Neale Hurston,1937,Character_126,"Character_126 is described as hopeful, resilient, reflecting Unknown male identity.",Male,Unknown,Unknown,"hopeful, resilient",[768-dim vector],Unknown_Male_Unknown,0.48,1
127,The Scarlet Letter,Nathaniel Hawthorne,1850,Character_127,"Character_127 is described as hopeful, devoted, reflecting Mixed male identity.",Male,Mixed,Working,"hopeful, devoted",[768-dim vector],Mixed_Male_Working,0.81,1
